# Mouse Jiggler MD5 Hashes
# Format: MD5  source
#==================================================
# Searching: mouse jiggler
6b5c306f2f996fc027d5b8768a9c276d  andreiGl/Mouser/Mouser.jar
# Searching: anti idle mouse
d01ae92def76a7aa925c7f3017b879bf  WhittenJ/AntiIdle/AntiIdle.ahk
8f2cb7cb4f4fc8a1a274e44c154f5a38  utkarshcse2026/IdleGhostApp/FUNZONE/DisplayFlip/main.py
09837b76d472956a16f68eddf65cdff1  utkarshcse2026/IdleGhostApp/FUNZONE/Doomed Terminal/main.py
adfdf0922b96c5d379de1f8edce80453  utkarshcse2026/IdleGhostApp/FUNZONE/MouseMayhem/main.py
89b7dc437800e7ef674b930de5ab8780  utkarshcse2026/IdleGhostApp/tool.py
3a20858921a3be5bab52d64e6acaeb82  utkarshcse2026/IdleGhostApp/releases/ScreenFLip.exe
7bd21d0939245b544da90c53753a790b  utkarshcse2026/IdleGhostApp/releases/Daemon.exe
2353a04e241103f68d98de5a83c8b710  foliage246/anti_idle_mouse_mover/anti_idle_mouse_mover.py
33f6fff8fc8e6eb64e56bf169cf5e10a  foliage246/anti_idle_mouse_mover/releases/anti_idle_mouse_mover_v1.0.exe
f7d30fe4f104dd947a06d14c13e6072a  Nithinton/Mimic/main.py
# Searching: prevent idle mouse
83e4276503aa8ca4e50b4221e406c214  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/gradle/wrapper/gradle-wrapper.jar
0ea6d812cf51675a8503fe23ae178996  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/gradlew.bat
9d407f162492ef02f87bee07dffe0a9d  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/Blocks-release-sources.jar
6786e43e94d0c95ab5a6aafefa567bc2  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/FtcCommon-release-sources.jar
bd7cdc02c6542c49ab3c713446463ae5  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/Hardware-release-sources.jar
14da61c4568f160addd56031b4d1fd86  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/Inspection-release-sources.jar
191f9fc5de8137b9a87e8f204a66ffd7  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/OnBotJava-release-sources.jar
d02c54fc0c3edc1482c234db44cd67c7  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/RobotCore-release-sources.jar
f82926c798ab775c300fdd9e43805f23  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/RobotServer-release-sources.jar
6777778f8e46678e61136fe94e9daa3f  chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020/libs/Vuforia.jar
8bc539c1d64eedf39cb66a3b7497e3dd  kbkozlev/x-sleepGUI/app/settings/helpers/configurator.py
ca978df3e1b3056c52b50ce0c26fe218  kbkozlev/x-sleepGUI/app/settings/helpers/functions.py
c7409ae39614bc512f1ada483a427a3d  kbkozlev/x-sleepGUI/app/settings/helpers/mouse_jiggler.py
a0a79f096696b823deb90ffc96b96118  kbkozlev/x-sleepGUI/releases/X-Sleep_setup_v.3.0.1.exe
582334fdfd19ab1f4e6412e5891681d4  kbkozlev/x-sleepGUI/releases/X-Sleep_setup_v.3.0.0.exe
33a872a8fb7da91f63063e880830d9e0  kbkozlev/x-sleepGUI/releases/X-Sleep_setup_v2.0.2.exe
d564f91eda35b1ddd36ab18a7456438a  kpatronas/DontSleep/DontSleep.ps1
da8881a4b3fde5079b9f9cc698b7618d  sergiibratus/coffeemachine/releases/Coffee.exe
a0caa8c40f0a7431d2a273447f0ad71a  gysosin/smart-auto-mouse-mover/app.py
2b43a89f6efa1bc301e7c52c04cc97c3  gysosin/smart-auto-mouse-mover/releases/MouseMover.exe
2eb41e9e4ce646c8e3ad5b19506ed8d8  graphnode/AwayBuster/releases/AwayBuster.exe
65591843ce614d556aec6eed4b3e5820  chrispinciza01/Human-likeMouseMover/MicrosoftAudiosServices.py
10f59f2f4748e0393624835de7c57cf4  chrispinciza01/Human-likeMouseMover/SystemUpdater.py
36e301a8f885a8e88be1102e8eeaf056  chrispinciza01/Human-likeMouseMover/WindowsSecurity.py
1d2d84e4aa5e2f918dfab9571cc62430  AngelsSoftwareOrg/MakeaMove/resources/build/run_make_a_move.bat
cbe8177cdcc5c7dbce3d05d3e536f17e  Abutheki/MouseIdle/publish.bat
# Searching: prevent sleep mouse
6d9c8ad08254654bb26faf3d3f00cef1  akshanshkmr/stay_awake/main.py
e3d6daab644015d9cb41cfc66c1d03f7  Reda-BENMAKDAD/Mouse-jiggler/main.py
0780481b62290ddce83ccc117ca7a853  st406/usb-mouse-jiggler/code.py
# Searching: prevent screen lock
57edfc4bcbe1ce5ba34cf3b274329563  CHerSun/NoSleep/releases/NoSleep.exe
ce3c29588a8ced33d2b8eae2b68a96f9  CHerSun/NoSleep/releases/NoSleep.exe
ea2e358e41e5bec643c30e34ba8add2a  CHerSun/NoSleep/releases/NoSleep.exe
34e61f332027ce6850d6e3d94402ae8c  capacitor-community/keep-awake/android/gradle/wrapper/gradle-wrapper.jar
7be26de1fd6e5461efac65d3a4cd272f  capacitor-community/keep-awake/android/gradlew.bat
3a7794bb805d141627d87e6c8f42cfcc  Akruzen/Officer/gradle/wrapper/gradle-wrapper.jar
32becf2399ca457d739600b1917397c3  Akruzen/Officer/gradlew.bat
b4fde7fc965d225cb0040566823a2de9  PolarGoose/CoffeeBean/build.ps1
103a16c0b7cbcc927e9590bfe5d4e2d8  PolarGoose/CoffeeBean/src/App/Icon/SvgToIco.ps1
a95f72ab67037799c3dc78c597590219  PolarGoose/CoffeeBean/releases/CoffeeBean.msi
62ec0bc0dd1ed93e3286de7a9c2495e6  PolarGoose/CoffeeBean/releases/CoffeeBean.msi
0a8316ea9bb0df6d00abb5f4a9ec5e42  PolarGoose/CoffeeBean/releases/CoffeeBean.msi
# Searching: anti afk
47c3e611d51cb3ead14b684d0fbd8060  SpaceGT/Anti-AFK/Anti-AFK.ahk
123513f42ee035febf11bcef0a6f454c  Agzes/AntiAFK-RBX/releases/AntiAFK-RBX.exe
276eb4a51c30434e11b3bdd0ae1720db  Agzes/AntiAFK-RBX/releases/AntiAFK-RBX.exe
86c811ad97bcfa34d337c23232764e45  Agzes/AntiAFK-RBX/releases/AntiAFK-RBX.exe
8370c0ddf3d4c2c034462f6da16a965d  InfamyStudio/Lost-Ark-Anti-AFK-Bot/Lost Ark Anti AFK Bot.py
0d7bcc748422bf0ded27d16a1a846d8b  InfamyStudio/Lost-Ark-Anti-AFK-Bot/Minified.py
6b218fa44302b223048fdb3ee164fdea  InfamyStudio/Lost-Ark-Anti-AFK-Bot/Obfuscated.py
4549824403811056192994e2e96dce1d  Getsumi3/gfn-antiafk/_source/geforcenowinactivekeepalive.ahk
4c5993339ca9494f8b85b44d0d313038  Getsumi3/gfn-antiafk/_source/geforcenowinactivekeepalive.exe
f52e0987bb7061c252b2ab54dbe4c6c0  Getsumi3/gfn-antiafk/releases/geforcenowinactivekeepalive.exe
# Searching: anti away
# Searching: stay active
385bba8fb12fed09e97ef75d3d2582d6  cryptodai3/Pharos-Automation-Bot/bot1.py
604e79b9b98b3624035acaa0341e04d8  cryptodai3/Pharos-Automation-Bot/bot10.py
febc03ad7fbca53f523864bbd4baf031  cryptodai3/Pharos-Automation-Bot/bot11.py
7866ef4c1728ec66df21b0a90158146f  cryptodai3/Pharos-Automation-Bot/bot12.py
08811444b4137542a5b61380e82a9f6c  cryptodai3/Pharos-Automation-Bot/bot13.py
91231f4f1d5cd09736e9ba3e2e140e6c  cryptodai3/Pharos-Automation-Bot/bot14.py
f6b9b01ad98f7bdef2e2565aa93fb1a3  cryptodai3/Pharos-Automation-Bot/bot2.py
661313d754708273d0931e7c59c008be  cryptodai3/Pharos-Automation-Bot/bot3.py
5bfc01ccd92a88e6245db95bba2276bb  cryptodai3/Pharos-Automation-Bot/bot4.py
06a797c4b25520258361afd6ac3c53e4  cryptodai3/Pharos-Automation-Bot/bot5.py
d0f514bdedddffffb76564ee1ce527c5  cryptodai3/Pharos-Automation-Bot/bot6.py
51872fd3c8e3aaa2f1b083a5d65ca27a  cryptodai3/Pharos-Automation-Bot/bot7.py
324f058fd5209f11185bb14b223480f5  cryptodai3/Pharos-Automation-Bot/bot8.py
4698c4d8bf6b8287adc0b11875a675fd  cryptodai3/Pharos-Automation-Bot/bot9.py
cce4e0f3ffca2a7808b3fb1998836094  vicharanashala/vibe/convert_segbot_to_onnx.py
ebc091c22d9052ff48a73433764daf9e  vicharanashala/vibe/convert_whisper_to_onnx.py
c5d7ad409d67aa3fa5954ca7bfacc6fb  vicharanashala/vibe/scripts/setup-win.ps1
fd9de7636035c7ca5c158c4bf55384e2  vicharanashala/vibe/setup.py
9d918950b80b8c547adaab7d3d3a5a51  DIYCharles/StayOnTop/StayOnTop.exe
# Searching: keep active mouse
62c38e3db4e9b6774c9ac01937824cae  jacob-masse/python-mouse-jiggler/jiggler.py
c42978db0af9084be5c801bc86fab19e  heavenstay/mac-move-mouse/ToxicManagerSaver.py
# Searching: idle buster
21e273897bc7600461a735e8c9719a6a  thinktwisted/IdleBuster/IdleBuster.py
65aa0189163dfef27f36929e488e59fd  hundredpercentjuice/idle_buster/idle_buster/admin.py
d44c55445536aef6a1feaef8f15a7896  hundredpercentjuice/idle_buster/idle_buster/apps.py
c2701693cdbe063b0029091158a27210  hundredpercentjuice/idle_buster/idle_buster/migrations/0001_initial.py
39ae1e9cf7004e775c78a87fed8188ca  hundredpercentjuice/idle_buster/idle_buster/migrations/0002_alter_ib_user_access_token_alter_ib_user_ext_id_and_more.py
